ADM_SECT_C,SGG_NM,x,y,pop
11440,마포구,126.9083,37.5593,375077
11410,서대문구,126.9391,37.5778,310313
11380,은평구,126.927,37.6192,483197
11350,노원구,127.075,37.6525,543752
11320,도봉구,127.0324,37.6691,339413
11305,강북구,127.0148,37.6322,319164
11290,성북구,127.0234,37.5951,435868
11260,중랑구,127.0929,37.5978,403209
11230,동대문구,127.0549,37.582,348052
11215,광진구,127.0857,37.5467,355559
11200,성동구,127.0411,37.551,308221
11170,용산구,126.9799,37.5314,228999
11140,중구,126.9959,37.5601,125725
11110,종로구,126.9863,37.5809,153065
11740,강동구,127.147,37.5505,427573
11710,송파구,127.1153,37.5056,666635
11680,강남구,127.063,37.4967,542364
11650,서초구,127.0088,37.4915,433951
11620,관악구,126.9453,37.4674,501957
11590,동작구,126.9442,37.5046,396203
11560,영등포구,126.9102,37.5223,367778
11545,금천구,126.9008,37.4606,233917
11530,구로구,126.858,37.498,404497
11500,강서구,126.8224,37.5659,596949
11470,양천구,126.8563,37.5191,464185
