division,place_name,address1,address2,supplier,longitude,latitude
강남구,KT강남지사,역삼동675-3,23-279,과기부WiFi,127.041466,37.504757
강남구,강남YMCA앞,논현동261-1,23-139,과기부WiFi,127.03633,37.51128
강남구,강남YMCA앞,논현동225-5,23-142,과기부WiFi,127.036095,37.510906
강남구,강남한양수자인아파트,자곡동 50-2,23-393,과기부WiFi,127.1138,37.478252
강남구,강남한양수자인아파트,자곡동 32-7,23-394,과기부WiFi,127.11348,37.477818
강남구,개포1단지,개포동660-1,23-336,과기부WiFi,127.06061,37.48259
강남구,개포4단지6단지,개포동 185,23-492,과기부WiFi,127.07221,37.486977
강남구,개포4단지7단지,개포동185,23-508,과기부WiFi,127.07297,37.487545
강남구,개포고등학교,개포동173,23-343,과기부WiFi,127.05865,37.484375
강남구,개포동역,개포동 180,23-479,과기부WiFi,127.065414,37.488968
강남구,개포시영아파트후문,개포동656,23-444,과기부WiFi,127.05387,37.480602
강남구,개포우성아파트,개포동658-1,23-445,과기부WiFi,127.05786,37.476566
강남구,개포주공1단지,개포동660-12,23-337,과기부WiFi,127.06192,37.481388
강남구,개포주공1단지,개포동141,23-338,과기부WiFi,127.05836,37.47675
강남구,개포주공1단지아파트,개포동660-12,23-459,과기부WiFi,127.0563,37.47882
강남구,개포주공7단지앞,개포동 185,23-361,과기부WiFi,127.07373,37.488953
강남구,개포중학교,개포동141,23-457,과기부WiFi,127.063515,37.480167
강남구,경기여고,개포동152,23-351,과기부WiFi,127.067245,37.48653
강남구,경남아파트,도곡동967,23-481,과기부WiFi,127.04132,37.488976
강남구,고속철도수서역,수서동 206-6,23-150,과기부WiFi,127.104675,37.48455
강남구,공무원아파트,일원동611-1,23-359,과기부WiFi,127.07579,37.492226
강남구,광연자동차학원앞,세곡동 39-23,23-417,과기부WiFi,127.11636,37.46569
강남구,광연자동차학원앞,세곡동 33-6,23-420,과기부WiFi,127.11884,37.467022
강남구,교보타워,논현동 199-2,23-122,과기부WiFi,127.02415,37.505775
강남구,구룡중학교앞,개포동 650,23-334,과기부WiFi,127.05724,37.4858
강남구,국민은행논현동지점,논현동237-12,23-143,과기부WiFi,127.03766,37.50858
강남구,노블발렌티웨딩홀,삼성동162-12,23-194,과기부WiFi,127.06476,37.51483
강남구,능인선원앞,개포동1055,23-367,과기부WiFi,127.052216,37.47177
강남구,단대부고.대치아이파크아파트,대치동 888,23-221,과기부WiFi,127.05378,37.494675
강남구,대왕초등학교,세곡동122-12,23-414,과기부WiFi,127.10684,37.464672
강남구,대청역,일원동 700-4,23-397,과기부WiFi,127.078896,37.493233
강남구,대치동우성아파트,대치1 500-3,23-229,과기부WiFi,127.05961,37.492577
강남구,대치역6번출구.강남구민회관,대치동511,23-239,과기부WiFi,127.06428,37.492786
강남구,대치역7번출구,대치동506,23-231,과기부WiFi,127.06408,37.49246
강남구,도곡교회.인바디빌딩,개포동1274-1,23-468,과기부WiFi,127.05546,37.474434
강남구,도곡렉슬아파트정문,도곡동 527-5,23-332,과기부WiFi,127.05344,37.49475
강남구,도곡역,대치동670,23-219,과기부WiFi,127.056526,37.491585
강남구,도곡역,대치동500,23-228,과기부WiFi,127.05655,37.49118
강남구,도산공원.호림아트센터앞,신사동629-21,23-152,과기부WiFi,127.03333,37.522114
강남구,도성초교사거리,대치동907-13,23-257,과기부WiFi,127.05177,37.500908
강남구,래미안.대치.팰리스,대치동630,23-227,과기부WiFi,127.05858,37.49256
강남구,래미안강남힐즈,자곡동558,23-471,과기부WiFi,127.09538,37.472443
강남구,래미안포레아파트,자곡동626,23-427,과기부WiFi,127.10617,37.475124
강남구,래미안포레아파트,자곡동366-1,23-526,과기부WiFi,127.10729,37.47566
강남구,래미안포레아파트,자곡동358,23-527,과기부WiFi,127.10768,37.476097
강남구,럭키아파트,도곡동963,23-488,과기부WiFi,127.04104,37.49154
강남구,매봉삼성아파트SK리더스뷰,도곡동 168,23-316,과기부WiFi,127.04896,37.488144
강남구,못골마을.LH강남아이파크,자곡동 408-3,23-463,과기부WiFi,127.10164,37.47341
강남구,봉은사.코엑스북문,삼성동77-21,23-190,과기부WiFi,127.05901,37.51414
강남구,봉은사역5번출구.광동한방병원,삼성동 161-1,23-193,과기부WiFi,127.06236,37.51439
강남구,삼성서울병원사거리,일원동 687-8,23-392,과기부WiFi,127.08265,37.489147
강남구,삼성중앙역.플래티넘아파트,삼성동 117,23-211,과기부WiFi,127.05183,37.51238
강남구,삼익아파트앞,도곡동869,23-525,과기부WiFi,127.041794,37.490055
강남구,삼정호텔앞,역삼동 605-3,23-267,과기부WiFi,127.03111,37.50624
강남구,센트럴아이파크.강남구도시관리공단,삼성동66,23-204,과기부WiFi,127.05205,37.51578
강남구,서울세관,논현동71-2,23-131,과기부WiFi,127.035164,37.517326
강남구,서울세관사거리,논현동90-7,23-147,과기부WiFi,127.03478,37.515358
강남구,선릉역,삼성동 142-38,23-241,과기부WiFi,127.051216,37.505447
강남구,세곡동,세곡동 138-12,23-416,과기부WiFi,127.10996,37.464657
강남구,세곡동사거리,세곡동129-2,23-415,과기부WiFi,127.10783,37.463577
강남구,세곡문화복지회관,율현동277-1,23-411,과기부WiFi,127.107864,37.468945
강남구,세곡중학교.세명초등학교,자곡동577-2,23-447,과기부WiFi,127.09156,37.470394
강남구,세관앞,논현동115-14,23-129,과기부WiFi,127.036064,37.51576
강남구,수서119.안전센터앞,수서동749,23-385,과기부WiFi,127.093765,37.48432
강남구,숙명여고,도곡동 91,23-329,과기부WiFi,127.05247,37.489735
강남구,스포월드.라움아트센터,역삼동653-4,23-271,과기부WiFi,127.03884,37.507988
강남구,시립개포도서관,개포동139,23-346,과기부WiFi,127.06408,37.4837
강남구,시립개포도서관,개포동156,23-466,과기부WiFi,127.06356,37.483555
강남구,시립수서청소년수련관,수서동 748,23-450,과기부WiFi,127.0891,37.483864
강남구,신구중학교,신사동634-10,23-163,과기부WiFi,127.03354,37.525646
강남구,신논현역,논현동201-12,23-121,과기부WiFi,127.02609,37.505135
강남구,아크로힐스논현,논현동277-27,23-138,과기부WiFi,127.03975,37.509224
강남구,역삼동개나리아파트,역삼동713-12,23-301,과기부WiFi,127.04735,37.49945
강남구,역삼자이아파트,역삼동711-1,23-298,과기부WiFi,127.04426,37.499805
강남구,연금매점,일원동 688,23-362,과기부WiFi,127.0746,37.488476
강남구,영동시장,논현동54-6,23-116,과기부WiFi,127.02347,37.511852
강남구,영희초등학교,일원동615-1,23-462,과기부WiFi,127.08049,37.49119
강남구,우성3차아파트,개포동660-2,23-341,과기부WiFi,127.05689,37.483173
강남구,우성3차아파트,개포동 652,23-515,과기부WiFi,127.05708,37.483715
강남구,우성6차아파트,개포동656,23-516,과기부WiFi,127.05499,37.476982
강남구,우성캐릭터빌아파트,도곡동 467-18,23-326,과기부WiFi,127.050804,37.48701
강남구,은곡마을진입로,세곡동274-8,23-434,과기부WiFi,127.09858,37.465767
강남구,은마아파트,대치동990,23-235,과기부WiFi,127.06326,37.499447
강남구,은마아파트,대치동316,23-237,과기부WiFi,127.06697,37.495766
강남구,일원동한솔아파트,일원동 731,23-449,과기부WiFi,127.07958,37.48247
강남구,일원본동주민센터,일원동 735-1,23-384,과기부WiFi,127.085976,37.483383
강남구,일원역,일원동 718,23-388,과기부WiFi,127.08328,37.48512
강남구,일원주유소.삼성서울병원후문,일원동 645-14,23-994,과기부WiFi,127.087685,37.490654
강남구,임페리얼팰리스호텔.워터게이트빌딩,논현동248-7,23-140,과기부WiFi,127.0356,37.514328
강남구,쟁골마을,자곡동213-2,23-426,과기부WiFi,127.1044,37.482655
강남구,코원에너지서비스,대치3 32-24,23-521,과기부WiFi,127.076164,37.49849
강남구,태화기독교.사회복지관,수서동 741,23-465,과기부WiFi,127.09335,37.484528
강남구,포스코사거리,삼성동144-17,23-453,과기부WiFi,127.05579,37.507835
강남구,하나은행사거리,개포동660-3,23-339,과기부WiFi,127.05422,37.480858
강남구,학여울역,대치동 5-3,23-500,과기부WiFi,127.07196,37.49725
강남구,학여울역,대치동 514-4,23-501,과기부WiFi,127.071396,37.496677
강남구,한국토지주택공사앞,삼성동34-21,23-216,과기부WiFi,127.043045,37.51281
강남구,한별구립어린이집,삼성동127-13,23-209,과기부WiFi,127.0546,37.510227
강남구,현대아파트,개포동 654,23-363,과기부WiFi,127.052826,37.482265
강남구,휘문중고등학교,대치동952-1,23-249,과기부WiFi,127.06149,37.504074
강동구,GS강동자이아파트.둔촌동프라자아파트,길동 176-3,25-117,과기부WiFi,127.14903,37.537003
강동구,강동공영차고지,강일동565-1,25-102,과기부WiFi,127.17398,37.564034
강동구,강동첨단업무단지.상일여고입구,상일동352-4,25-310,과기부WiFi,127.17325,37.549404
강동구,강명초등학교,상일동108-13,25-110,과기부WiFi,127.17237,37.55337
강동구,강일동주민센터,강일동320,25-318,과기부WiFi,127.17393,37.566013
강동구,강일동주민센터,강일동 675-2,25-319,과기부WiFi,127.17381,37.565884
강동구,강일리버파크6단지,강일동 693,25-317,과기부WiFi,127.17543,37.56403
강동구,강일리버파크8단지,강일동447-1,25-332,과기부WiFi,127.17772,37.56227
강동구,고덕리엔파크2단지.3단지,강일동506,25-342,과기부WiFi,127.17374,37.55734
강동구,상일동주민센터.고덕사회체육센터,상일동131,25-252,과기부WiFi,127.16832,37.550438
강동구,고덕삼환.주공9단지아파트,명일동257,25-263,과기부WiFi,127.15219,37.549053
강동구,고덕아이파크아파트,고덕동499,25-174,과기부WiFi,127.15378,37.55937
강동구,고덕역,명일동 46-5,25-140,과기부WiFi,127.15508,37.555
강동구,고덕초등학교,고덕동 229,25-167,과기부WiFi,127.165764,37.560146
강동구,고덕평생학습관.온조대왕체육관,고덕동 296,25-137,과기부WiFi,127.15814,37.555687
강동구,광문고.서울컨벤션고,고덕동499,25-172,과기부WiFi,127.15652,37.560448
강동구,길동자연생태공원,길동 산25-1,25-182,과기부WiFi,127.152596,37.53904
강동구,길동자연생태공원,길동 12-5,25-183,과기부WiFi,127.153015,37.53918
강동구,둔촌2동주민센터.서울양병원,둔촌동 64-1,25-122,과기부WiFi,127.14203,37.53365
강동구,둔촌동역2번출구,둔촌동 529-7,25-247,과기부WiFi,127.13652,37.527588
강동구,둔촌동프라자아파트.GS강동자이아파트,길동 176-3,25-118,과기부WiFi,127.14818,37.536102
강동구,명일동신동아아파트,고덕동313,25-289,과기부WiFi,127.152176,37.55485
강동구,명일여자고등학교,명일동 257,25-195,과기부WiFi,127.1493,37.54835
강동구,배재중고등학교,고덕동 313-1,25-141,과기부WiFi,127.14945,37.55479
강동구,배재중고등학교,명일동15,25-142,과기부WiFi,127.14947,37.554523
강동구,보훈병원,둔촌동94-3,25-190,과기부WiFi,127.14359,37.528843
강동구,상일동동아아파트,상일동473,25-295,과기부WiFi,127.16755,37.545788
강동구,상일동역1번출구,고덕동217,25-133,과기부WiFi,127.164444,37.556587
강동구,상일동주몽재활원,상일동179,25-297,과기부WiFi,127.16332,37.54598
강동구,상일초등학교,상일동 440-3,25-722,과기부WiFi,127.17236,37.54664
강동구,서울장애인종합복지관,고덕동 317-23,25-143,과기부WiFi,127.14658,37.55479
강동구,신암중학교,암사동460-15,25-152,과기부WiFi,127.13132,37.554615
강동구,십자성마을,길동 336-1,25-239,과기부WiFi,127.14212,37.54298
강동구,아남.대우아파트,고덕동 469,25-372,과기부WiFi,127.14465,37.55772
강동구,암사3동주민센터프라이어팰리스,암사동 산48-10,25-148,과기부WiFi,127.13932,37.554558
강동구,한양수자인아파트,성내동 547-1,25-286,과기부WiFi,127.12846,37.527172
강동구,한영중고한영외고,명일동60,25-180,과기부WiFi,127.15591,37.547817
강동구,해뜨는주유소,강일동638,25-106,과기부WiFi,127.17099,37.559757
강북구,SK아파트벽산아파트상가,미아동1353,09-225,과기부WiFi,127.0112,37.61973
강북구,강북노인종합복지관,수유동 605-128,09-142,과기부WiFi,127.019,37.634434
강북구,강북보건소,번동 362-2,09-176,과기부WiFi,127.03919,37.632107
강북구,강북보건소,번동 612-3,09-179,과기부WiFi,127.03923,37.632477
강북구,대한병원,수유동 230-4,09-205,과기부WiFi,127.023094,37.636974
강북구,도봉세무서.성북시장,미아동 231,09-009,과기부WiFi,127.02872,37.619713
강북구,미아사거리역,미아동 861-1,09-011,과기부WiFi,127.02993,37.61376
강북구,미아사거리역,도봉로 36-1,09-012,과기부WiFi,127.03021,37.612896
강북구,미아역.신일중고,도봉로 131-1,09-007,과기부WiFi,127.02665,37.62487
강북구,미아역.신일중고,도봉로 131-1,09-008,과기부WiFi,127.02714,37.62411
강북구,번동주공1단지,번동 612-2,09-185,과기부WiFi,127.047226,37.627014
강북구,번동주공3단지,번동 612-3,09-183,과기부WiFi,127.04437,37.62865
강북구,번동해모로아파트,번동 148-232,09-233,과기부WiFi,127.03704,37.626625
강북구,북서울꿈의숲,번동 122-4,09-239,과기부WiFi,127.03753,37.622585
강북구,삼각산고.래미안트리베라,미아동 813-8,09-302,과기부WiFi,127.021645,37.61442
강북구,삼각산고.래미안트리베라,미아동 813-8,09-303,과기부WiFi,127.02136,37.61438
강북구,삼각산동삼각산아이원아파트정문,미아동 1357-13,09-295,과기부WiFi,127.016685,37.616177
강북구,삼각산동삼각산아이원아파트후문,미아동 1357-2,09-275,과기부WiFi,127.01883,37.61635
강북구,삼양동사거리입구,미아동 374-45,09-175,과기부WiFi,127.02849,37.61706
